YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,2,12,UKI,UKI Industrial,UKI BP,Chemical & Petroleum,ServiceNow,ENTERPRISE,0.0,ServiceNow,<10M,BP PLC,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
2023,2,10,APAC,ANZ,Australia IND,Select BPS-T,AMS for SAP Apps,Unassigned,22324.0,SAP Application Operations,<10M,NEWMONT CORPORATION,,,,,Intelligent Operations,Application Operations,Application Management Services for SAP Applications,3
2023,4,11,Americas,Canada,Canada Quebec,Digital Squads,Custom Application Management Services OA,Unassigned,-42.0,Custom Application Operations,<10M,ENGLOBE CORP,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,1,12,UKI,UKI Financial Services Sector,UKI Banking Other,Digital Squads,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,Promontory,<10M,CIMB BANK BERHAD,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",3
2023,2,7,Americas,US Communications & Industrial,US Communications & Industrial,Digital Squads,Source-to-Pay Operations BPO,Unassigned,0.0,Finance & Procurement BPO,<10M,PACTIV CORP,,,,,Intelligent Operations,Business Operations,Intelligent Procurement Operations,2
2023,3,13,Rest of EMEA,DACH,DE IND,Automotive,Application Mig and Mod on AWS OA,ENTERPRISE,0.0,AWS,<10M,BMW,,,,,Strategy & Technology,Hybrid Cloud & Data,Application Migration and Modernization on AWS,3
2023,1,12,Rest of EMEA,DACH,DE GOV,Government,Digital Product Design and Engineering OA,ENTERPRISE,0.0,Migration & Modernization,<10M,DEU DEFENSE 3,,,,,Strategy & Technology,Hybrid Cloud & Data,Digital Product Design and Engineering,3
2023,3,11,Japan,JP Public,JP LS,Select BPS-T,SAP,Unassigned,0.0,SAP,<10M,PFIZER,,,,,Strategy & Technology,Business Applications,Business Transformation with SAP Applications,3
2023,1,6,Rest of EMEA,France,France DIST,Select Technology Sales Rep,Sales and Commerce Transformation OA,Unassigned,0.0,Customer,<10M,KERING,,,,,Strategy & Technology,Strategy & Transformation,Sales and Commerce Transformation,2
2023,1,13,Americas,Canada,Canada PUB,Government,Oracle - TT,ENTERPRISE,0.0,Oracle,<10M,ONTARIO GOVERNMENT EDUCATION AND RESEARCH,,,,,Strategy & Technology,Business Applications,HR Technology,3
2023,1,9,Rest of EMEA,NCEE,CEE,Select BPS-T,AMS for SAP Apps,Unassigned,0.0,SAP Application Operations,<10M,CHROMOS BOJE I LAKOVI,,,,,Intelligent Operations,Application Operations,Application Management Services for SAP Applications,2
2023,2,10,UKI,UKI Distribution,UKI CSI,Select BPS-T,IBM CyberDefend Other,Unassigned,0.0,CyberDefend,<10M,BROADRIDGE FINANCIAL SOLUTIONS,,,,,Intelligent Operations,Cybersecurity,IBM CyberDefend,3
2023,4,7,Japan,JP Top,JP Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,0.0,Japan Joint Ventures,<10M,KANEMATSU STEEL K.K.,,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,2
2023,3,8,Rest of EMEA,SPGI,Spain PUB,Government,Custom Application Management Services OA,TARGET ENTERPRISE,0.0,Custom Application Operations,<10M,GENERALITAT DE CATALUNA,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,2
2023,4,12,Japan,JP Top,JP Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,0.0,Japan Joint Ventures,<10M,"JAPAN POST HOLDINGS CO., LTD.",,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
2023,2,4,Americas,US Communications & Industrial,US Communications & Industrial,Select BPS-T,SALESFORCE,Unassigned,0.0,Salesforce,<10M,N-ABLE TECHNOLOGIES,,,,,Strategy & Technology,Business Applications,Business Transformation with Salesforce,1
