YEAR,QUARTER,MONTH,INDUSTRY,UT30_NAME,PRACTICE,GEOGRAPHY,MARKET,SECTOR,REVENUE_BUDGET_AMT,SIGNINGS_BUDGET_AMT,CLIENT_NAME,UT15_NAME,UT17_NAME,UT20_NAME,GROSS_PROFIT_BUDGET_AMT,PLAN_ID
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,3000000.0,1500000.0,CANADIAN UTILITIE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),300000.0,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1000000.0,1500000.0,CANADIAN UTILITIE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),100000.0,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2000000.0,917147.94,CANADIAN UTILITIE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),200000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2000000.0,5000000.0,FORTIS INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),376000.0,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1000000.0,0.0,FORTIS INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),207640.62,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,1000000.0,45848753.42,FORTIS INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),202403.56,BUDCL
2025,4,10,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,2500000.0,0.0,FORTIS INC,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),535000.0,BUDCL
2025,1,1,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,50000.0,0.0,HYDRO ONE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),12978.02,BUDCL
2025,2,4,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,50000.0,0.0,HYDRO ONE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),21382.95,BUDCL
2025,3,7,Communications Top,IBM Consulting (AUO),Security Services,Americas,Canada,Canada Other,400000.0,0.0,HYDRO ONE,IBM Consulting External Segment Top (AUO),IBM Consulting Service Line Top (AUO),IBM Consulting Offering Top (AUO),144782.92,BUDCL
