YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,COUNTRY,UT15_NAME,UT17_NAME,UT20_NAME,UT30_NAME,DEAL_SIZE,SIGNINGS,SIGNINGS_PY,SIGNINGS_PPY,BRANCH
2025,1,8,EMEA,DACH Market,Austria,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Partner Rebates, Unassigned, Miscds, Other (AUO)",Unassigned,29000.0,,,
2025,1,12,APAC,Greater China Group Market,Hong Kong,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,0.0,,,
2025,1,11,Americas,Latin America Market,Mexico,Z TPS,zTPS Operations / Services Market,zTPS Operations / Services,"zTPS Top - Acctg Adj, BP Rebates (AUO)",Unassigned,0.0,,,
2025,1,7,Americas,Canadian Market,Bahamas,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,9,Americas,Latin America Market,Brazil,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,20078.0,,,
2025,1,6,Americas,Latin America Market,Chile,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,6,EMEA,DACH Market,Switzerland,Public Cloud Platform,Public Cloud IaaS,Extended Enterprise,IaaS Classic,<10M,0.0,,,
2025,1,7,Americas,US Top Market,United States of America,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),"Sustainability Software Top-BP Rebates, Acctg Miscodes (AUO)",Unassigned,500985.0,,,
2025,2,3,Americas,Latin America Market,Chile,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Watson FSS Top (AUO),Unassigned,0.0,,,
2025,1,6,EMEA,Italy Market,Italy,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,-40000.0,,,
2025,2,6,EMEA,DACH Market,Germany,Red Hat,Red Hat Top Market (AUO),Red Hat Top Portfolio (AUO),Red Hat Top (AUO),Unassigned,219.0,,,
2025,1,13,EMEA,"Northern, Central and Eastern Europe Market",Denmark,Data Platform,Data and AI Top (AUO),Data Platform Top Portfolio (AUO),Data Platform Top (AUO),Unassigned,0.0,,,
2025,1,13,APAC,Australia/New Zealand Market,Australia,Automation Platform,Technology Business Management,IT Financial Management,Apptio Top (AUO),Unassigned,8614.0,,,
2025,1,5,Americas,Latin America Market,Brazil,Automation Platform,Automation Platform Top (AUO),Automation Platform Top Portfolio (AUO),Automation Top (AUO),Unassigned,309.0,,,
